"Time","Vertical Speed","Horizontal Speed","Distance","Altitude","Angle","Weight","Acceleration","Fuel"
"0.0","24.8","932.0","181000.0","13748.0","58.3","286.0","0.0","121.0"
"10.0","28.111862370430067","925.4979285754364","171712.5103571228","13465.12162932432","58.3","284.1472935152941","2.1663979456768727","119.14729351529412"
"20.0","24.13987272292907","907.030662129818","162595.9472895869","13213.84831914164","58.3","282.01729394408113","2.1039226152201236","117.01729394408115"
"30.0","21.342594168674324","890.1821767143574","153654.63411372597","12995.16012597136","58.3","280.3713500668953","1.470495845898334","115.37135006689525"
"40.0","22.479155379618234","879.4636511635009","144837.68282938798","12776.052438328386","58.3","279.49917946051085","0.7206433264042629","114.49917946051083"
"50.0","26.8621078777547","873.8605357791336","136086.39017837573","12519.240857743565","58.3","278.8447780470086","0.7347327804269345","113.8447780470086"
"60.0","29.889810840964532","865.9760618027277","127402.83516076756","12225.427439287045","58.3","277.48650725393435","1.6562573300542005","112.48650725393433"
"70.0","27.746113063996205","849.5662926161028","118860.35244208529","11939.111802670255","58.3","275.34248364527707","2.2097539185793442","110.34248364527708"
"80.0","24.270773683665595","830.7287183806388","110505.8794666771","11687.771099736714","58.3","273.23182127567105","2.1575245962746394","108.23182127567105"
"90.0","21.849022642132887","813.307753352863","102331.58825539376","11464.780391656695","58.3","271.54009750656246","1.592950087349424","106.54009750656247"
"100.0","22.951836144853765","801.3429687528419","94292.21713564212","11240.552132532737","58.3","270.511535440698","0.9364321722486155","105.51153544069804"
"110.0","26.86344013511804","793.7627385192209","86336.60677166609","10982.341851820434","58.3","269.63554430419777","0.9969756321655282","104.63554430419778"
"120.0","29.313257619472125","783.6965817671988","78470.51611882578","10692.938999745276","58.3","268.1036270902856","1.8692406573982592","103.10362709028564"
"130.0","26.99652562737306","765.7285548141398","70763.14970385662","10414.089376338507","58.3","265.8884120651545","2.3643080074221543","100.88841206515448"
"140.0","23.508803120869153","745.5706863233021","63256.94298613979","10170.337031580008","58.3","263.74038285210094","2.2389806498521785","98.74038285210095"
"150.0","21.687461511285015","727.803628159725","55937.69515399165","9951.002783612925","58.3","262.13009713950976","1.5438236099362928","97.13009713950973"
"160.0","23.836836713924836","716.2140767509298","48750.444186396504","9720.47243814933","58.3","261.13732457694505","0.9751780813306008","96.13732457694503"
"170.0","28.011504885960708","707.7433984705712","41651.39911892057","9450.57525330456","58.3","260.06645628621675","1.3186737200567349","95.06645628621678"
"180.0","29.274161486471755","694.4156254894444","34668.65255538873","9157.801824516748","58.3","258.16270053950393","2.36354538434688","93.16270053950396"
"190.0","26.470856910017645","674.2642726748493","27875.52633133302","8886.139989988547","58.3","256.0125450544549","2.3833959353081027","91.01254505445493"
"200.0","23.734557082554286","653.9094497225327","21285.353212844017","8641.95628099133","58.3","253.91149951374302","2.28538255398413","88.91149951374304"
"210.0","22.420395826769383","635.5460349047678","14886.686511362852","8416.251773683025","58.3","252.24673611606136","1.7083835671897771","87.24673611606134"
"220.0","24.38063530136439","622.219599624015","8634.196131672","8179.298938570778","58.3","251.046108391887","1.2869029219589951","86.04610839188702"
"230.0","27.72096938957409","610.935704346956","2495.7923943859705","7909.988457704052","58.3","249.71211356188064","1.6624203152971189","84.71211356188064"
"240.0","28.249363042713316","594.9122312032326","-3498.0871415452966","7625.998277657391","58.3","247.8673747756665","2.1120446098174783","82.86737477566649"
"250.0","26.922814459313713","575.6230379418736","-9305.83971183003","7351.523285809786","58.3","245.76067127250224","2.4326442808890456","80.76067127250224"
"260.0","24.65231497379504","554.496934484086","-14904.696554473398","7098.785081276848","58.3","243.5822738717518","2.5310897976645945","78.58227387175181"
"270.0","22.73931128191046","533.6200649763841","-20291.444568805677","6867.753731133877","58.3","241.6716951417799","2.1017746933784043","76.6716951417799"
"280.0","23.670187575816527","517.0394206617291","-25500.036665530424","6635.495220323495","58.3","240.24380443863413","1.57253200711184","75.24380443863414"
"290.0","26.8364890753859","503.83948300397304","-30570.982991319543","6375.40277270797","58.3","238.87650853154898","1.7136823390813956","73.87650853154898"
"300.0","28.291396972636228","487.66000586313976","-35492.02993635226","6093.743683221599","58.3","236.93555922988082","2.550435164206841","71.93555922988082"
"310.0","26.478245174330365","465.91164563566804","-40205.63972955698","5824.48213233795","58.3","234.80616066505195","2.5735644252235406","69.80616066505195"
"320.0","24.585230470763307","443.69723719763243","-44698.94371362851","5573.536495880839","58.3","232.6370507775408","2.6313543778120883","67.6370507775408"
"330.0","23.17767311858404","421.9237733845486","-48971.07912810256","5339.323015269769","58.3","230.7073682343419","2.2504582031510085","65.7073682343419"
"340.0","24.236468846141218","403.8198245763971","-53051.9292468939","5101.330228085611","58.3","229.1474503977962","1.8519313066817902","64.14745039779619"
"350.0","26.861594744228018","387.98539726270616","-56971.564262849046","4839.250635690141","58.3","227.5590996497535","2.0844590993841794","62.559099649753506"
"360.0","27.519247567567607","368.71310099753543","-60710.71973017786","4563.4341211030505","58.3","225.6062288919046","2.456461666085473","60.60622889190459"
"370.0","26.62591629924362","346.61959600885143","-64235.1335933253","4293.223217864925","58.3","223.44073188112242","2.7503174122218375","58.4407318811224"
"380.0","25.107248572954575","323.1626180031845","-67525.54464816645","4038.40563612747","58.3","221.27138897564782","2.787146333933875","56.27138897564781"
"390.0","23.812566139335253","299.70471823379415","-70580.59795273881","3797.5791011304914","58.3","219.2174278555687","2.5783469935953973","54.217427855568715"
"400.0","24.172330829151313","278.57006872945107","-73417.12973090251","3558.1246615964446","58.3","217.44018689387332","2.239795121425792","52.44018689387331"
"410.0","26.10184077964606","259.66167975869575","-76060.64740903968","3302.2722400283674","58.3","215.71437385650495","2.326762901717335","50.714373856504956"
"420.0","26.978931792498667","238.7543157149039","-78503.23649326326","3033.078270531189","58.3","213.63989136100605","2.909989418533502","48.639891361006065"
"430.0","25.649419744691155","213.93200537698908","-80704.77181558286","2773.309429102607","58.3","211.44917484102746","2.940138327352546","46.44917484102744"
"440.0","24.399849817217024","188.85467469374495","-82656.16765713265","2526.2399723644576","58.3","209.28653487359836","2.8950420105540866","44.286534873598356"
"450.0","24.013100222735776","164.78844434770832","-84362.8049047192","2286.161524241301","58.3","207.32123920829193","2.605358657164344","42.32123920829192"
"460.0","25.306343197640526","143.08008588104843","-85846.73085362425","2037.1710490893968","58.3","205.50588436245417","2.5050151339350193","40.505884362454175"
"470.0","26.655268984798045","121.12982162524717","-87114.49802352504","1773.1337300089954","58.3","203.5035913515623","2.9158879624273704","38.50359135156232"
"480.0","26.416997213207676","96.2570662561479","-88139.41071612529","1508.4171130778718","58.3","201.35054125638896","3.121957006489856","36.35054125638896"
"490.0","25.33158246370757","69.62165192518425","-88902.39941442531","1252.4327264019446","58.3","199.1354473399767","3.156684264066303","34.135447339976714"
"500.0","24.38546181244465","42.79915614614076","-89397.35990376165","1006.4268884929829","58.3","196.96939015166777","3.075958912543199","31.969390151667778"
"510.0","24.40715002558336","17.1319622199736","-89631.58899521914","763.3429452669127","58.3","194.9700958019066","2.8475822795652634","29.970095801906623"
"520.0","25.65611447919255","-6.937116985362302","-89621.99435543086","510.29336448028596","58.3","193.0265859841921","2.889976419643227","28.026585984192117"
"530.0","25.47175897759663","0.0","-89587.30877050404","252.2344848594724","55.3","190.9402276961089","3.100837662471137","25.940227696108913"
"540.0","22.044732523840842","0.0","-89587.30877050404","21.50817929797816","49.3","188.8538694080257","3.135094087173348","23.85386940802571"
